"porifera","bryozoa","ascidiacea","foraminifera","other_algae","annelida","prokariotic_biotas","Bivalvia","Hydrozoa","Cirripedia","bare_plate","sediment","CCA"
0,5.12820512820512,2.56410256410256,7.69230769230769,2.56410256410256,20.5128205128205,15.3846153846154,0,0,0,28.2051282051282,5.12820512820513,12.8205128205128
0,19.5121951219512,0,0,0,2.4390243902439,14.6341463414634,0,4.8780487804878,0,29.2682926829268,0,29.2682926829268
0,8.33366665333387,4.16683332666693,20.8331666733331,2.08391664333427,18.7492500299988,10.4165833366665,0,0,0,10.4165833366665,2.08391664333427,22.9160833566657
2,24,0,4,0,34,0,0,2,0,12,0,24
2.77806326954305,5.5561265390861,0,5.55509876873112,0,8.33316203827417,8.33316203827417,0,0,0,38.8887746921828,11.1112253078172,19.4443873460914
0,17.5,7.5,0,0,15,7.5,0,0,0,42.5,0,10
4.08163265306122,10.2040816326531,2.04081632653061,20.4081632653061,0,18.3673469387755,4.08163265306122,0,2.04081632653061,0,10.2040816326531,6.12244897959184,22.4489795918367
6.12193878061219,38.7746122538775,2.0409795902041,4.0819591804082,2.0409795902041,24.489755102449,2.0409795902041,0,2.0409795902041,0,0,2.0409795902041,16.3268367316327
0,5.12825772572026,0,0,0,12.8206443143007,15.3847731771608,0,5.12825772572026,0,30.7685207027764,7.6923865885804,23.0771597657412
2.85708571257138,22.856685700571,2.85708571257138,0,0,5.71517145514365,14.2854285628569,0,2.85708571257138,0,37.1431142934288,2.85708571257138,11.4283428502855
2.04081632653061,4.08163265306122,2.04081632653061,18.3673469387755,0,12.2448979591837,20.4081632653062,0,6.12244897959184,0,18.3673469387755,0,18.3673469387755
2.12793616191514,55.3183404497865,0,12.7656170314891,0,8.51074467765967,10.6386808395748,0,2.12793616191514,0,6.38280851574453,2.12793616191514,2.12793616191514
0,2.7029729702703,5.4059459405406,0,2.7029729702703,21.6217837821622,24.3247567524325,0,5.40494595054049,0,16.2158378416216,5.40494595054049,16.2158378416216
2.703,13.514,2.703,0,0,5.405,21.621,2.703,2.703,0,43.243,0,8.108
0,0,0,20,0,20,22.2225703692099,0,0,0,13.3333333333333,0,24.4440962974568
10.417517354022,4.16700694160882,0,10.4164965291956,0,24.9989791751735,20.8340138832176,0,2.08350347080441,0,2.08350347080441,4.16700694160882,22.9154757043691
0,0,0,5,5,5,12.5,0,12.5,0,25,27.5,7.5
0,21.9512195121951,4.8780487804878,0,0,7.31707317073171,9.75609756097561,0,0,0,39.0243902439024,0,17.0731707317073
0,0,0,4.16666666666666,0,41.6666666666667,8.33333333333333,0,0,0,6.25,14.5833333333333,25
0,6,0,8,0,30,12,0,6,0,12,0,26
0,2.7030270302703,2.7030270302703,5.4050540505405,0,10.8111081110811,2.7030270302703,0,2.7030270302703,0,37.8373783737837,16.2161621616216,18.9181891818918
0,35,5,0,0,5,12.5,0,0,0,32.5,0,10
0,4.34782608695652,0,8.69565217391304,0,28.2608695652174,10.8695652173913,0,0,0,6.52173913043478,26.0869565217391,15.2173913043478
0,8.33299305839118,0,14.5835034708044,0,22.9164965291956,18.7505104124132,0,2.08350347080441,0,14.5835034708044,0,18.7494895875868
0,0,0,2.564,0,12.821,10.256,0,17.949,0,10.256,30.769,15.385
0,5.556,19.445,2.778,0,0,11.111,0,5.555,0,36.111,0,19.444
0,21.2765957446809,4.25531914893617,2.12765957446809,0,48.936170212766,6.38297872340426,0,0,0,0,4.25531914893617,12.7659574468085
0,4.25564508716566,6.38295699418896,2.1273119070233,0,57.4476342208197,10.6375808082355,0,2.1273119070233,0,6.38295699418896,0,10.6386020813546
0,13.889520838073,0,2.77768749932291,0,11.1107499972916,11.1107499972916,0,2.77768749932291,0,30.5556458340104,19.4448958367188,8.33306249796873
3.030030300303,15.1511515115151,6.060060600606,0,0,12.1211212112121,12.1211212112121,0,0,0,42.4254242542425,0,12.1211212112121
0,26.0869565217392,0,15.2173913043478,0,15.2173913043478,10.8695652173913,0,0,0,8.69565217391304,6.52173913043478,17.3913043478261
2.17424621703636,0,2.17424621703636,8.6959631359006,0,28.2600921602485,8.6959631359006,2.17424621703636,4.34747070182788,0,17.3909045395564,4.34747070182788,21.7393969736291
0,0,0,16.6663333266665,0,16.6663333266665,5.55611112222244,0,0,0,36.1117222344447,8.33316666333327,16.6663333266665
0,5,0,2.5,0,2.5,5,5,0,0,57.5,0,22.5
2.12765957446809,21.2765957446809,0,38.2978723404255,0,4.25531914893617,6.38297872340426,0,0,0,6.38297872340426,2.12765957446809,19.1489361702128
0,34.782381851763,0,13.0435236296474,0,13.0435236296474,2.17357277764444,0,0,4.34818903717926,13.0435236296474,2.17357277764444,17.3917126668267
0,2.5,2.5,7.5,0,17.5,2.5,0,2.5,0,22.5,12.5,30
2.2729772702273,25.0007499925001,2.2729772702273,0,0,9.09090909090909,2.2729772702273,4.5459545404546,0,0,27.2717272827272,0,29.5447045529545
0,4.25567405832004,2.12783702916002,14.893816657805,0,44.6804074271,2.12783702916002,0,0,0,2.12783702916002,0,29.7865907692949
4.34827978420344,17.3910321294779,0,15.2174139892102,0,26.0875916978848,2.17361814026776,0,2.17361814026776,0,8.69551606473897,0,28.2612098381526
0,0,0,2.85744489666473,0,8.57127755166764,5.71488979332946,5.71383265500291,0,0,28.5712775516676,25.7138326550029,22.8574448966647
0,9.09090909090909,15.9088409115909,2.2729772702273,0,22.7267727322727,11.3638863611364,2.2729772702273,0,0,24.9997500025,2.2729772702273,9.09090909090909
4.54494318821014,9.09090909090909,0,4.54494318821014,0,31.8186931754262,6.81843749680402,0,0,0,2.27247159410507,15.9093465877131,25.0002556786222
2.08352473994222,14.5836523443481,2.08352473994222,14.5836523443481,0,18.7496809889852,16.666156249043,0,0,0,6.24955338457926,0,25.0002552088119
0,5.40618260244428,5.40515559207148,0,0,10.810311184143,5.40618260244428,5.40515559207148,0,0,18.9185580774366,21.6216493786587,27.0268049707302
0,16.2156333124506,0,0,0,5.40521110415019,0,2.7031190625353,0,0,40.5406238125071,2.7031190625353,32.4322936458216
0,18.75,2.08333333333333,10.4166666666667,0,39.5833333333333,4.16666666666666,6.25,0,2.08333333333333,0,0,16.6666666666667
0,4.65186044418667,9.30172094837155,18.6034418967431,0,20.9293721188364,16.2795116146516,4.65186044418667,0,4.65186044418667,4.65186044418667,0,16.2785116446507
0,0,2.4390243902439,9.75609756097561,0,9.75609756097561,4.8780487804878,0,0,0,31.7073170731707,7.31707317073171,34.1463414634146
2.7780277802778,13.8891388913889,19.4451944519445,0,0,5.55505555055551,2.7780277802778,0,5.55505555055551,0,38.8883888838888,0,13.8891388913889
2,2,0,22,0,4,12,0,18,0,20,0,22
2.128,2.128,14.894,8.51,0,0,2.128,0,21.276,0,27.66,0,23.404
2.7780277802778,5.5560555605556,16.6661666616666,2.7780277802778,0,0,2.7780277802778,0,2.7780277802778,0,24.9992499924999,16.6661666616666,27.7782777827778
0,8.33291667083329,24.9997500025,0,0,19.4438055619444,11.1118888811112,0,2.7779722202778,0,27.7777222227778,0,5.55594444055559
4.0819591804082,4.0819591804082,0,32.6516734832652,0,0,4.0819591804082,0,16.3268367316327,0,24.489755102449,2.0409795902041,16.3268367316327
0,0,20.408,10.204,0,2.041,18.368,0,18.367,0,28.571,0,2.041
2.3809761902381,2.3809761902381,4.7619523804762,2.3809761902381,0,9.5239047609524,0,0,0,0,23.809761902381,33.3326666733333,23.809761902381
0,0,10,0,0,0,5,0,5,0,62.5,2.5,12.5
2.222,2.222,0,22.222,0,2.222,11.111,0,20,0,6.667,6.667,28.889
0,0,33.5481069987271,4.02774625790601,0,0,16.1099983225946,0,20.1367578714713,0,20.1367578714713,0,6.04063267782963
4.44369479882238,11.1107703631011,8.88943408570494,0,0,4.44471704285246,8.88738959764476,0,2.22235852142623,0,35.5556918547596,13.3331288845273,15.5565096499836
2.5640256402564,10.2561025610256,12.820128201282,2.5640256402564,0,2.5640256402564,12.820128201282,0,0,0,46.1544615446154,0,12.8211282112821
2.0830208302083,6.2490624906249,0,31.250312503125,0,4.1670416704167,0,2.0830208302083,22.9172291722917,0,12.50012500125,2.0830208302083,18.750187501875
2.08352473994222,2.08352473994222,0,8.33307812452148,0,0,10.4166028644637,0,45.8334609377393,0,25.0002552088119,0,8.33307812452148
